text,frequency,Classification,Confidence
,
covid cases,3667,Health & Medicine,0.276
,
new cases,2453,Entertainment & Recreation,0.459
,
coronavirus cases,2392,Health & Medicine,0.498
,
covid pandemic,2164,Health & Medicine,0.292
,
los angeles,2075,Humanities,0.276
,
new york,1925,Humanities,0.656
,
south africa,1917,Humanities,0.58
,
london england,1898,Humanities,0.211
,
new covid,1562,Humanities,0.329
,
coronavirus pandemic,1554,Health & Medicine,0.272
,
death toll,1171,Society,0.379
,
tested positive,1105,Health & Medicine,0.834
,
united states,1078,Entertainment & Recreation,0.407
,
san francisco,1067,Humanities,0.256
,
coronavirus vaccine,1014,Health & Medicine,0.92
,
coronavirus outbreak,967,Health & Medicine,0.306
,
positive covid,948,Health & Medicine,0.323
,
covid deaths,878,Health & Medicine,0.455
,
public health,874,Health & Medicine,0.981
,
boston ma,855,Humanities,0.344
,
new covid cases,851,Consumer Electronics,0.328
,
ontario canada,848,Gardening,0.331
,
texas usa,833,Entertainment & Recreation,0.316
,
atlanta ga,801,Humanities,0.21
,
test positive,801,Health & Medicine,0.744
,
covid vaccines,800,Health & Medicine,0.958
,
england united,782,Entertainment & Recreation,0.483
,
covid testing,781,Education,0.266
,
toronto ontario,775,Gardening,0.211
,
covid patients,766,Health & Medicine,1
,
may united,752,Entertainment & Recreation,0.319
,
cases covid,748,Entertainment & Recreation,0.22
,
england united kingdom,746,Entertainment & Recreation,0.351
,
apr united,743,Business & Finance,0.213
,
mumbai india,742,Society,0.319
,
tests positive,737,Health & Medicine,0.699
,
london uk,735,Humanities,0.321
,
francisco ca,725,Humanities,0.297
,
social distancing,718,Society,0.778
,
reports new,698,Entertainment & Recreation,0.364
,
san diego,693,Science & Mathematics,0.348
,
donald trump,680,Entertainment & Recreation,0.195
,
positive coronavirus,671,Health & Medicine,0.532
,
los angeles,670,Humanities,0.276
,
amid coronavirus,666,Health & Medicine,0.283
,
new jersey,665,Science & Mathematics,0.322
,
cases deaths,661,Health & Medicine,0.498
,
confirmed cases,659,Health & Medicine,0.277
,
jun united,657,Entertainment & Recreation,0.331
,
york city,655,Humanities,0.616
,
covid test,641,Health & Medicine,0.315
,
due coronavirus,638,Society,0.309
,
coronavirus deaths,630,Health & Medicine,0.569
,
news coronavirus,625,Entertainment & Recreation,0.204
,
stay home,589,Home,0.654
,