the covid 19,5773,Classification,Confidence
covid 19 vaccine,4060,Health & Medicine,0.925
covid 19 cases,3829,Society,0.21
covid 19 pandemic,2751,Health & Medicine,0.314
new covid 19,1509,Society,0.291
new delhi india,1192,Society,0.287
the coronavirus pandemic,1171,Entertainment & Recreation,0.316
the spread of,1147,Entertainment & Recreation,0.278
during covid 19,1137,Society,0.698
positive for covid,1077,Health & Medicine,0.282
due to covid,1077,Entertainment & Recreation,0.33
new york usa,1031,Society,0.222
new york city,988,Humanities,0.636
covid 19 has,981,Entertainment & Recreation,0.328
covid 19 deaths,930,Society,0.524
covid 19 vaccines,891,Health & Medicine,0.935
tested positive for,886,Health & Medicine,0.859
covid 19 patients,853,Health & Medicine,1
about covid 19,845,Society,0.278
covid 19 crisis,823,Society,0.373
covid 19 testing,785,Health & Medicine,0.255
england united kingdom,782,Entertainment & Recreation,0.351
cases of covid,781,Health & Medicine,0.291
during the covid,781,Society,0.218
against covid 19,743,Entertainment & Recreation,0.734
positive for coronavirus,731,Health & Medicine,0.698
covid 19 test,678,Health & Medicine,0.265
due to coronavirus,647,Health & Medicine,0.379
test positive for,614,Health & Medicine,0.855
tests positive for,605,Health & Medicine,0.803
thank you for,590,Humanities,0.312
covid 19 relief,583,Health & Medicine,0.377
new coronavirus cases,564,Entertainment & Recreation,0.493
around the world,564,Entertainment & Recreation,0.314
the united states,558,Entertainment & Recreation,0.507
covid 19 update,554,Gardening,0.327
covid 19 outbreak,546,Health & Medicine,0.279
to the coronavirus,528,Entertainment & Recreation,0.33
covid 19 vaccination,523,Health & Medicine,0.919
covid 19 response,481,Society,0.317
covid 19 death,480,Society,0.662
covid 19 lockdown,477,Society,0.499
new south wales,477,Animals,0.224
new jersey usa,475,Entertainment & Recreation,0.35
bbc news coronavirus,473,Health & Medicine,0.296
the coronavirus is,471,Entertainment & Recreation,0.264
covid 19 tests,467,Education,0.568
the white house,448,Society,0.207
during the coronavirus,440,Entertainment & Recreation,0.328
coronavirus covid 19,440,Society,0.314